Period,PR open,Issue open,Stars snapshot,Forks snapshot,Visitors (uniques),Cloners (uniques),PR opened,PR merged,PR closed,Issues opened,Issues closed,Stars per period,Forks per period
2018.04.10 v1.39_v1.40a3,-5,-13,23,13,0,0,22,9,12,46,37,101,37
2018.04.26 v1.40a3_v1.43.7,-15,-33,734,240,0,0,9,7,12,28,29,109,49
2019.04.16 v1.43.7_v1.43.8,3,2,221,92,0,0,-12,-3,-3,-24,-7,-25,-41
